text,label,language
REWARD: You are selected for Rs 10000 cashback on UPI. Enter OTP immediately to activate reward,1,English
Income Tax Dept: Rs 15000 tax refund pending. Provide your UPI ID and OTP for immediate credit,1,English
PM Kisan Yojana: Rs 6000 ready for credit. Share your UPI PIN to receive government funds today,1,English
Government COVID relief fund Rs 3500 approved for you. Share UPI ID with OTP to receive today,1,English
RBI notification: New UPI guidelines require re-verification. Share account details now urgently,1,English
PM Modi scheme: Rs 15000 for every UPI user. Limited time offer. Share PIN to receive funds,1,English
PM Awas Yojana: Rs 2.5 lakh housing subsidy approved. Send UPI PIN to release the funds today,1,English
EPFO: PF withdrawal of Rs 50000 ready. Confirm UPI PIN to transfer amount to your bank now,1,English
Govt Skill India: Rs 8000 training stipend approved. Share UPI ID to receive payment today,1,English
Aadhaar-linked subsidy Rs 1200 credited. Confirm with OTP to release funds to your account,1,English
Election Commission: Voter ID linking bonus Rs 500. Share UPI PIN to receive the incentive now,1,English
Your Google Pay account is suspended due to suspicious activity. Verify now at gpay-verify.com,1,English
ALERT: Unauthorized login detected on your UPI account. Share OTP immediately to block access,1,English
Your UPI transaction of Rs 50000 is pending verification. Confirm OTP urgently to release funds,1,English
Your transaction to unknown account has been initiated. Share OTP immediately to cancel it now,1,English
URGENT NOTICE: Rs 10000 reversal pending on your account. Confirm OTP to receive the amount,1,English
Electricity bill refund Rs 2000 via UPI. Enter UPI PIN code to receive the immediate credit,1,English
Flipkart cashback Rs 1500 ready. Send your UPI ID and last 4 digits of card to receive it,1,English
Bank of India: Rs 5000 cashback offer for loyal customers. Share your UPI PIN to receive it,1,English
Gas cylinder subsidy Rs 300 approved by government. Share UPI PIN to receive the refund now,1,English
Water board refund Rs 450 ready for your account. Enter OTP to receive the amount immediately,1,English
LPG subsidy Rs 250 pending credit. Verify your UPI PIN with our agent to release the funds,1,English
Work from home job offer: Earn Rs 15000/day. Pay Rs 500 registration fee via UPI to start,1,English
Easy loan Rs 5 lakh approved for you. Pay processing fee Rs 999 via UPI. Call 9090909090,1,English
Data entry job: Rs 800 per hour from home. Send Rs 299 via UPI for training kit access,1,English
Part time job offer: Rs 50000/month. Pay Rs 1000 registration fee at paytm UPI immediately,1,English
Instant personal loan Rs 2 lakh. No documents. Pay Rs 500 insurance fee via UPI to disburse,1,English
Your parcel is held at customs. Pay Rs 199 via UPI to release the delivery immediately,1,English
You won iPhone 14 in UPI Lucky Draw! Pay Rs 199 shipping fee via UPI to receive your prize,1,English
Amazon delivery pending: Pay Rs 49 handling fee via UPI to reschedule your package delivery,1,English
FedEx: Package held. Pay customs duty Rs 399 via UPI within 24 hours to avoid return,1,English
India Post: Undelivered parcel. Pay Rs 29 redelivery fee via UPI: bit.ly/indiapost-pay,1,English
Your SIM will be blocked in 24 hours. Share Aadhaar OTP to complete mandatory re-verification,1,English
Airtel: Your number 9876543210 will be deactivated. Share UPI PIN to pay outstanding dues now,1,English
Jio alert: Your SIM card KYC expired. Call 8899776655 and share OTP to prevent disconnection,1,English
Your Paytm account is about to expire. Update KYC now by calling 1800-XXX-XXXX immediately,1,English
FREE cash offer: Rs 5000 added to your UPI. Enter OTP to unlock and transfer to your bank account,1,English
Axis Bank: Your UPI limit has been upgraded to 2 lakhs. Confirm upgrade by sharing your OTP,1,English
ICICI: Your account shows suspicious login from Delhi. Share PIN to block unauthorized access,1,English
PhonePe: Rs 10000 bonus added to your account. Verify OTP at bit.ly/phonepe-bonus to claim,1,English
Crypto investment: Turn Rs 1000 into Rs 50000 in 7 days. Send via UPI to wallet ID given,1,English
Insurance claim Rs 75000 approved. Pay stamp duty Rs 499 via UPI to release the cheque now,1,English
Court notice: Outstanding dues Rs 2300 on your UPI. Pay immediately or account will be seized,1,English
Your mutual fund dividend Rs 3200 is ready. Share UPI PIN to transfer to your bank account,1,English
RBI: UPI transaction limit increased. Verify by sharing OTP with our banking partner now,1,English
तुरंत: आपका UPI खाता ब्लॉक हो जाएगा! KYC अपडेट करें। अभी कॉल करें 9876543210,1,Hindi
आपका Paytm KYC समाप्त हो गया। खाता 2 घंटे में निलंबित होगा। अभी अपडेट करें,1,Hindi
Google Pay KYC अधूरा है। कल खाता ब्लॉक होगा। तुरंत अपडेट करें,1,Hindi
NPCI चेतावनी: आपकी UPI ID निष्क्रिय हो जाएगी। 24 घंटे में अपडेट करें,1,Hindi
आपका SBI खाता अधूरे KYC के कारण बंद होगा। पुनः सक्रिय करने के लिए विवरण साझा करें,1,Hindi
आधार लिंक UPI KYC समाप्त। 9988776655 पर कॉल करें और पुनः सक्रिय करें,1,Hindi
HDFC बैंक: UPI KYC सत्यापन लंबित है। bit.ly/hdfc-kyc पर अपडेट करें,1,Hindi
अत्यावश्यक: 24 घंटे में KYC अपडेट न करने पर PhonePe खाता निलंबित होगा,1,Hindi
SBI: KYC सत्यापन लंबित। खाता प्रतिबंधित। bit.ly/sbi-kyc पर जाएं या 8899001122 पर कॉल करें,1,Hindi
SBI चेतावनी: 24 घंटे में खाता निष्क्रिय होगा। पुनः सक्रिय करने के लिए OTP साझा करें,1,Hindi
सरकारी योजना: Rs 5000 सहायता स्वीकृत। धन प्राप्त करने के लिए UPI PIN दें,1,Hindi
HDFC बैंक: संदिग्ध गतिविधि। खाता सुरक्षित करने के लिए अभी UPI PIN साझा करें,1,Hindi
मुफ्त ऑफर: Rs 2000 PhonePe वॉलेट में। सक्रिय करने के लिए UPI PIN साझा करें,1,Hindi
आपका खाता खतरे में है। धन सुरक्षित करने के लिए तुरंत OTP साझा करें,1,Hindi
ICICI बैंक: अधूरा सत्यापन। खाता अनलॉक करने के लिए अपना 6 अंकों का PIN दें,1,Hindi
बैंक सुरक्षा टीम: संदिग्ध UPI अनुरोध। इसे रोकने के लिए PIN साझा करें अभी,1,Hindi
बधाई हो! आपने Rs 50000 का पुरस्कार जीता। दावा करने के लिए OTP 5534 भेजें,1,Hindi
लॉटरी विजेता! Rs 25 लाख जीते। पुरस्कार पाने के लिए Rs 500 जमा करें अभी,1,Hindi
Diwali ऑफर: UPI पर Rs 5000 कैशबैक जीते। पाने के लिए OTP 7652 भेजें,1,Hindi
PhonePe वार्षिकोत्सव लॉटरी विजेता के रूप में आप चुने गए। Rs 1 लाख के लिए OTP भेजें,1,Hindi
Amazon ऑफर: Rs 5000 वाउचर जीते। खाते में पाने के लिए बैंक OTP साझा करें,1,Hindi
PM किसान योजना: Rs 6000 तैयार। सरकारी धन पाने के लिए UPI PIN दें,1,Hindi
आयकर विभाग: Rs 15000 कर वापसी लंबित। तत्काल क्रेडिट के लिए UPI ID और OTP दें,1,Hindi
COVID राहत कोष Rs 3500 स्वीकृत। UPI ID और OTP साझा करें,1,Hindi
EPFO: PF निकासी Rs 50000 तैयार। बैंक में ट्रांसफर के लिए UPI PIN दें,1,Hindi
PM Awas Yojana: Rs 2.5 लाख आवास सब्सिडी स्वीकृत। धन जारी करने के लिए UPI PIN भेजें,1,Hindi
बिजली बिल वापसी Rs 2000 UPI के माध्यम से। प्राप्त करने के लिए PIN दर्ज करें,1,Hindi
गैस सिलिंडर सब्सिडी Rs 300 सरकार ने मंजूर की। UPI PIN दें प्राप्त करने के लिए,1,Hindi
LPG सब्सिडी Rs 250 लंबित। हमारे एजेंट के साथ UPI PIN सत्यापित करें,1,Hindi
Flipkart कैशबैक Rs 1500 तैयार। UPI ID और कार्ड के अंतिम 4 अंक दें,1,Hindi
அவசரம்: உங்கள் UPI கணக்கு தடுக்கப்படும். KYC புதுப்பிக்க இப்போதே அழைக்கவும் 9876543210,1,Tamil
உங்கள் Paytm KYC காலாவதியானது. கணக்கு நிறுத்தப்படும். இப்போதே புதுப்பிக்கவும்,1,Tamil
Google Pay KYC முடிக்கப்படவில்லை. நாளை கணக்கு தடுக்கப்படும். இப்போதே புதுப்பிக்கவும்,1,Tamil
NPCI எச்சரிக்கை: உங்கள் UPI ID நீக்கப்படும். 24 மணி நேரத்தில் புதுப்பிக்கவும்,1,Tamil
உங்கள் SBI கணக்கு முழுமையற்ற KYC காரணமாக மூடப்படும். விவரங்கள் பகிர்ந்து மீட்டெடுக்கவும்,1,Tamil
ஆதார் இணைக்கப்பட்ட UPI KYC காலாவதி. 9988776655 அழைத்து மீண்டும் செயல்படுத்தவும்,1,Tamil
அவசரம்: 24 மணி நேரத்தில் KYC புதுப்பிக்காவிட்டால் உங்கள் PhonePe கணக்கு முடக்கப்படும்,1,Tamil
HDFC வங்கி: உங்கள் UPI KYC சரிபார்ப்பு நிலுவையில் உள்ளது. bit.ly/hdfc-kyc-ல் புதுப்பிக்கவும்,1,Tamil
உங்கள் Gpay கணக்கு இரவு தடுக்கப்படும். KYC புதுப்பிக்க 9900112233 அழைக்கவும் இப்போதே,1,Tamil
SBI: KYC சரிபார்ப்பு நிலுவை. கணக்கு கட்டுப்படுத்தப்பட்டது. bit.ly/sbi-verify ல் செய்யவும்,1,Tamil
SBI எச்சரிக்கை: 24 மணி நேரத்தில் கணக்கு நிறுத்தப்படும். OTP பகிர்ந்து மீண்டும் செயல்படுத்தவும்,1,Tamil
அரசு திட்டம்: Rs 5000 உதவித்தொகை அங்கீகரிக்கப்பட்டது. UPI PIN தரவும் பணம் பெற,1,Tamil
HDFC வங்கி: சந்தேகமான செயல்பாடு. UPI PIN பகிர்ந்து கணக்கை பாதுகாக்கவும் இப்போதே,1,Tamil
வங்கி பாதுகாப்பு குழு: சந்தேகமான UPI கோரிக்கை. PIN பகிர்ந்து தடுக்கவும் இப்போதே,1,Tamil
உங்கள் கணக்கு சமரசம் செய்யப்பட்டது. OTP பகிர்ந்து பணத்தை பாதுகாக்கவும் உடனே,1,Tamil
இலவச சலுகை: Rs 2000 PhonePe வாலட்டில். UPI PIN பகிர்ந்து செயல்படுத்தவும் இப்போதே,1,Tamil
Axis வங்கி: UPI வரம்பு 2 லட்சமாக உயர்த்தப்பட்டது. OTP பகிர்ந்து உறுதிப்படுத்தவும்,1,Tamil
உங்கள் UPI பரிமாற்றம் சரிபார்க்கப்படுகிறது. OTP உறுதிப்படுத்தவும் நிதி வெளியிட,1,Tamil
ICICI வங்கி: முழுமையற்ற சரிபார்ப்பு. உங்கள் 6 இலக்க PIN பகிரவும் கணக்கு திறக்க,1,Tamil
RBI: புதிய UPI வழிகாட்டுதல்கள். கணக்கு மீண்டும் சரிபார்க்க OTP பகிரவும் இப்போதே,1,Tamil
வாழ்த்துக்கள்! நீங்கள் Rs 50000 பரிசு வென்றீர்கள். OTP அனுப்பவும் 5534 கோரிக்கை செய்ய,1,Tamil
பரிசு ஒதுக்கீடு: UPI லக்கி டிரா Rs 25000 வென்றீர்கள். OTP உறுதிப்படுத்தவும் பெற,1,Tamil
லாட்டரி வெற்றி! Rs 25 லட்சம் வென்றீர்கள். Rs 500 செலுத்தி பரிசு பெறுங்கள் இப்போது,1,Tamil
Diwali சலுகை: UPI வழியாக Rs 5000 கேஷ்பேக் வென்றீர்கள். OTP 7652 அனுப்பவும் பெற,1,Tamil
PhonePe ஆண்டு விழா லாட்டரி வெற்றியாளராக நீங்கள் தேர்ந்தெடுக்கப்பட்டீர்கள். OTP அனுப்பவும்,1,Tamil
Amazon சலுகை: Rs 5000 வவுச்சர் வென்றீர்கள். வங்கி OTP பகிர்ந்து கணக்கில் பெறுங்கள்,1,Tamil
iPhone 14 வென்றீர்கள்! Rs 199 ஷிப்பிங் கட்டணம் UPI மூலம் செலுத்தவும் பரிசு பெற,1,Tamil
WINNER: உங்கள் UPI எண் Rs 10 லட்ச பரிசை வென்றது. OTP கொடுங்கள் பணம் பெற இப்போதே,1,Tamil
வாழ்த்துக்கள்! Flipkart பண்டிகை கேஷ்பேக் Rs 3000 வென்றீர்கள். PIN பகிரவும் பெற,1,Tamil
UPI Diwali draw: நீங்கள் Rs 50000 வென்றீர்கள். Rs 199 கட்டணம் செலுத்தி பரிசு பெறவும்,1,Tamil
PM கிசான் திட்டம்: Rs 6000 அனுப்ப தயார். UPI PIN கொடுங்கள் அரசு பணம் பெற,1,Tamil
வருமான வரி திணைக்களம்: Rs 12000 திரும்பப் பெறல். UPI ID மற்றும் OTP கொடுங்கள்,1,Tamil
COVID நிவாரண நிதி Rs 3500 அங்கீகரிக்கப்பட்டது. UPI ID மற்றும் OTP கொடுங்கள்,1,Tamil
PM Awas Yojana: Rs 2.5 லட்ச வீட்டு மானியம் அங்கீகரிக்கப்பட்டது. UPI PIN கொடுங்கள் இப்போதே,1,Tamil
EPFO: PF திரும்பப் பெறல் Rs 50000 தயார். UPI PIN கொடுங்கள் வங்கிக்கு மாற்ற இன்றே,1,Tamil
அரசு திறன் இந்தியா: Rs 8000 பயிற்சி உதவித்தொகை. UPI ID பகிரவும் இன்றே பெற,1,Tamil
ஆதார் இணைக்கப்பட்ட மானியம் Rs 1200 வரவு. OTP கொடுங்கள் நிதி வெளியிட,1,Tamil
தேர்தல் ஆணையம்: வாக்காளர் அட்டை இணைப்பு போனஸ் Rs 500. UPI PIN கொடுங்கள் இப்போதே,1,Tamil
Aadhaar subsidy Rs 600 நிலுவையில் உள்ளது. OTP பகிர்ந்து உங்கள் கணக்கில் பெறவும்,1,Tamil
மின்சாரக் கட்டண திரும்பப் பெறல் Rs 2000 UPI மூலம். PIN உள்ளிடவும் பெற,1,Tamil
கேஸ் சிலிண்டர் மானியம் Rs 300 அரசால் அங்கீகரிக்கப்பட்டது. UPI PIN கொடுங்கள் பெற,1,Tamil
தண்ணீர் வாரிய திரும்பப் பெறல் Rs 450 தயார். OTP கொடுங்கள் உடனே பெற,1,Tamil
LPG மானியம் Rs 250 நிலுவையில் உள்ளது. எங்கள் முகவரிடம் UPI PIN சரிபார்க்கவும்,1,Tamil
Flipkart கேஷ்பேக் Rs 1500 தயார். UPI ID மற்றும் கார்டின் கடைசி 4 இலக்கங்கள் கொடுங்கள்,1,Tamil
வீட்டில் இருந்து வேலை: Rs 15000 தினமும் சம்பாதிக்கலாம். Rs 500 பதிவு கட்டணம் UPI செலுத்தவும்,1,Tamil
Data entry வேலை: மணிக்கு Rs 800 வீட்டிலிருந்து. Rs 299 UPI மூலம் செலுத்தி தொடங்கவும்,1,Tamil
உடனடி கடன் Rs 5 லட்சம் அங்கீகரிக்கப்பட்டது. Rs 999 செயலாக்க கட்டணம் UPI மூலம் செலுத்தவும்,1,Tamil
Part time வேலை Rs 50000 மாதம். Rs 1000 பதிவு கட்டணம் UPI மூலம் செலுத்தவும் இப்போதே,1,Tamil
உங்கள் பார்சல் சுங்கத்தில் நிறுத்தப்பட்டுள்ளது. Rs 199 UPI மூலம் செலுத்தி விடுவிக்கவும்,1,Tamil
Amazon delivery நிலுவை: Rs 49 கையாளும் கட்டணம் UPI மூலம் செலுத்தி மீண்டும் திட்டமிடவும்,1,Tamil
உங்கள் SIM 24 மணி நேரத்தில் தடுக்கப்படும். கட்டாய மறு சரிபார்ப்புக்கு Aadhaar OTP பகிரவும்,1,Tamil
Airtel: உங்கள் எண் 9876543210 செயலிழக்கும். நிலுவை தொகை செலுத்த UPI PIN பகிரவும்,1,Tamil
Jio எச்சரிக்கை: SIM KYC காலாவதி. 8899776655 அழைத்து OTP பகிர்ந்து துண்டிக்கப்படுவதை தவிர்க்கவும்,1,Tamil
PhonePe: Rs 10000 போனஸ் உங்கள் கணக்கில் சேர்க்கப்பட்டது. பெற bit.ly/phonepe-bonus ல் OTP சரிபார்க்கவும்,1,Tamil
காப்பீட்டு கோரிக்கை Rs 75000 அங்கீகரிக்கப்பட்டது. ஸ்டாம்ப் டியூட்டி Rs 499 UPI மூலம் செலுத்தவும்,1,Tamil
உங்கள் மியூச்சுவல் ஃபண்ட் டிவிடெண்ட் Rs 3200 தயார். வங்கிக்கு மாற்ற UPI PIN பகிரவும்,1,Tamil
நீதிமன்ற அறிவிப்பு: UPI நிலுவை Rs 2300. உடனே செலுத்தவும் இல்லையேல் கணக்கு முடக்கப்படும்,1,Tamil
WINNER: PhonePe Rs 1 லட்ச பரிசு! Rs 199 செலுத்தி உங்கள் பரிசை கோரவும் 9876543210,1,Tamil
உங்கள் Paytm கணக்கு காலாவதியாகிறது. 1800-XXX-XXXX அழைத்து KYC புதுப்பிக்கவும் உடனே,1,Tamil
சந்தேகமான UPI உள்நுழைவு கண்டறியப்பட்டது. OTP பகிர்ந்து அங்கீகரிக்கப்படாத அணுகலை தடுக்கவும்,1,Tamil
RBI: UPI பரிவர்த்தனை வரம்பு அதிகரிக்கப்பட்டது. OTP பகிர்ந்து சரிபார்க்கவும் இப்போதே,1,Tamil
கிரிப்டோ முதலீடு: Rs 1000 ஐ 7 நாளில் Rs 50000 ஆக்குங்கள். UPI மூலம் அனுப்பவும்,1,Tamil
అత్యవసరం: మీ UPI ఖాతా బ్లాక్ అవుతుంది! KYC అప్‌డేట్ చేయండి. ఇప్పుడే కాల్ చేయండి 9876543210,1,Telugu
మీ Paytm KYC గడువు ముగిసింది. ఖాతా నిలిపివేయబడుతుంది. ఇప్పుడే అప్‌డేట్ చేయండి,1,Telugu
Google Pay KYC పూర్తి కాలేదు. రేపు ఖాతా బ్లాక్ అవుతుంది. వెంటనే అప్‌డేట్ చేయండి,1,Telugu
NPCI హెచ్చరిక: మీ UPI ID నిలిపివేయబడుతుంది. 24 గంటల్లో అప్‌డేట్ చేయండి,1,Telugu
మీ SBI ఖాతా అసంపూర్ణ KYC కారణంగా మూసివేయబడుతుంది. వివరాలు పంచుకోండి,1,Telugu
ఆధార్ లింక్ చేసిన UPI KYC గడువు ముగిసింది. 9988776655 కాల్ చేసి మళ్ళీ యాక్టివేట్ చేయండి,1,Telugu
HDFC బ్యాంక్: మీ UPI KYC వెరిఫికేషన్ పెండింగ్‌లో ఉంది. bit.ly/hdfc-kyc లో అప్‌డేట్ చేయండి,1,Telugu
అత్యవసరం: 24 గంటల్లో KYC అప్‌డేట్ చేయకపోతే మీ PhonePe ఖాతా నిలిపివేయబడుతుంది,1,Telugu
SBI హెచ్చరిక: 24 గంటల్లో ఖాతా నిలిపివేయబడుతుంది. OTP పంచుకోండి మళ్ళీ యాక్టివేట్ చేయడానికి,1,Telugu
ప్రభుత్వ పథకం: Rs 5000 సహాయం మంజూరైంది. UPI PIN ఇవ్వండి డబ్బు పొందడానికి,1,Telugu
HDFC బ్యాంక్: అనుమానాస్పద కార్యకలాపం. UPI PIN పంచుకోండి ఖాతాను సురక్షితం చేయడానికి,1,Telugu
ఉచిత ఆఫర్: Rs 2000 PhonePe వాలెట్‌లో. UPI PIN పంచుకోండి యాక్టివేట్ చేయడానికి,1,Telugu
మీ ఖాతా రాజీ పడింది. OTP పంచుకోండి డబ్బు సురక్షితం చేయడానికి వెంటనే,1,Telugu
ICICI బ్యాంక్: అసంపూర్ణ వెరిఫికేషన్. మీ 6 అంకెల PIN ఇవ్వండి ఖాతా అన్‌లాక్ చేయడానికి,1,Telugu
అభినందనలు! మీరు Rs 50000 బహుమతి గెలిచారు. OTP పంపండి 5534 క్లెయిమ్ చేయడానికి,1,Telugu
లాటరీ విజేత! Rs 25 లక్షలు గెలిచారు. Rs 500 చెల్లించి బహుమతి పొందండి ఇప్పుడే,1,Telugu
Diwali ఆఫర్: UPI ద్వారా Rs 5000 క్యాష్‌బ్యాక్ గెలిచారు. OTP 7652 పంపండి పొందడానికి,1,Telugu
PhonePe వార్షికోత్సవ లాటరీ విజేతగా మీరు ఎంపికయ్యారు. Rs 1 లక్ష పొందడానికి OTP పంపండి,1,Telugu
అమెజాన్ ఆఫర్: Rs 5000 వోచర్ గెలిచారు. బ్యాంక్ OTP పంచుకోండి ఖాతాలో పొందడానికి,1,Telugu
PM కిసాన్ పథకం: Rs 6000 సిద్ధంగా ఉంది. ప్రభుత్వ డబ్బు పొందడానికి UPI PIN ఇవ్వండి,1,Telugu
ఆదాయపు పన్ను విభాగం: Rs 12000 రీఫండ్ పెండింగ్. UPI ID మరియు OTP ఇవ్వండి,1,Telugu
COVID నివారణ నిధి Rs 3500 మంజూరైంది. UPI ID మరియు OTP ఇవ్వండి,1,Telugu
EPFO: PF విత్‌డ్రాయల్ Rs 50000 సిద్ధంగా ఉంది. బ్యాంక్‌కు బదిలీ చేయడానికి UPI PIN ఇవ్వండి,1,Telugu
విద్యుత్ బిల్లు రీఫండ్ Rs 2000 UPI ద్వారా. పొందడానికి PIN నమోదు చేయండి,1,Telugu
గ్యాస్ సిలిండర్ సబ్సిడీ Rs 300 ప్రభుత్వం మంజూరు చేసింది. UPI PIN ఇవ్వండి పొందడానికి,1,Telugu
LPG సబ్సిడీ Rs 250 పెండింగ్‌లో ఉంది. మా ఏజెంట్‌తో UPI PIN వెరిఫై చేయండి,1,Telugu
Flipkart క్యాష్‌బ్యాక్ Rs 1500 సిద్ధంగా ఉంది. UPI ID మరియు కార్డ్ చివరి 4 అంకెలు ఇవ్వండి,1,Telugu
URGENT: உங்கள் account block ஆகும். Click here to update KYC now! Call 9876543210 immediately,1,Mixed
Congratulations! நீங்கள் Rs 50000 won! OTP அனுப்பவும் prize claim செய்ய இப்போதே,1,Mixed
PhonePe ALERT: உங்கள் KYC expired ஆகியது. Account suspended ஆகும். Update now bit.ly/kyc,1,Mixed
SBI: Account deactivate ஆகும் 24 hours-ல். OTP share பண்ணுங்க immediately reactivate பண்ண,1,Mixed
Lucky Winner! நீங்கள் iPhone வென்றீர்கள். Rs 199 shipping fee pay பண்ணவும் UPI மூலம்,1,Mixed
FRAUD ALERT: உங்கள் UPI-ல் suspicious transaction உள்ளது. OTP confirm பண்ணி cancel செய்யுங்க,1,Mixed
Income Tax refund Rs 15000 ready உள்ளது. UPI ID மற்றும் OTP கொடுங்கள் receive பண்ண,1,Mixed
Government scheme: Rs 5000 approved for you. UPI PIN கொடுங்கள் funds பெற இப்போதே,1,Mixed
Bank security: உங்கள் account compromised ஆகியது. PIN share பண்ணி secure பண்ணுங்க,1,Mixed
RBI notice: UPI re-verification required urgently. OTP பகிர்ந்து process complete பண்ணுங்க,1,Mixed
URGENT: உங்கள் Aadhaar KYC link expired. Update பண்ண bit.ly/aadhaar-link-ல் OTP enter பண்ணவும்,1,Mixed
Diwali offer: Rs 5000 cashback PhonePe-ல் ready. Claim பண்ண UPI PIN confirm பண்ணுங்கள் now,1,Mixed
Work from home job: Rs 800/hour earn பண்ணலாம். Registration fee Rs 299 UPI-ல் pay பண்ணவும்,1,Mixed
Gas cylinder subsidy Rs 300 approved. UPI PIN கொடுங்கள் refund receive பண்ண உடனே,1,Mixed
உங்கள் SIM card 24 hours-ல் block ஆகும். Aadhaar OTP share பண்ணி re-verify பண்ணுங்கள்,1,Mixed
HDFC Bank: Suspicious login detected. உங்கள் 6-digit PIN share பண்ணி account secure பண்ணுங்க,1,Mixed
Amazon delivery: Parcel held at customs. Rs 199 pay பண்ண UPI link: bit.ly/amz-custom,1,Mixed
PM Kisan: Rs 6000 government funds ready. UPI PIN verify பண்ணி funds receive பண்ணுங்கள்,1,Mixed
Flipkart cashback Rs 1500 ready. UPI ID மற்றும் card last 4 digits கொடுங்கள் receive பண்ண,1,Mixed
WINNER: நீங்கள் Rs 10 lakh prize வென்றீர்கள்! OTP கொடுங்கள் prize transfer பண்ண இப்போதே,1,Mixed
Court notice: UPI outstanding dues Rs 2300. Immediately pay பண்ணவும் account seized ஆகாமல்,1,Mixed
Instant loan Rs 2 lakh approved. No documents. Processing fee Rs 500 UPI-ல் pay பண்ணவும்,1,Mixed
உங்கள் mutual fund dividend Rs 3200 ready. Transfer பண்ண UPI PIN share பண்ணுங்கள் now,1,Mixed
Crypto invest: Rs 1000 to Rs 50000 in 7 days. UPI-ல் அனுப்பவும் இப்போதே profit பெற,1,Mixed
EPFO: PF withdrawal Rs 50000 ready. UPI PIN confirm பண்ணி bank-ல் transfer பண்ணுங்கள்,1,Mixed
Election bonus Rs 500 for Voter ID linking. UPI PIN share பண்ணி receive பண்ணுங்கள் today,1,Mixed
Insurance claim Rs 75000 approved. Stamp duty Rs 499 UPI-ல் pay பண்ணவும் cheque release பண்ண,1,Mixed
Part time job: Rs 50000/month. Registration Rs 1000 UPI-ல் pay பண்ணவும் இப்போதே apply பண்ண,1,Mixed
Jio SIM KYC expired. 8899776655 call பண்ணி OTP share பண்ணி disconnection தவிர்க்கவும்,1,Mixed
PM Awas Yojana: Rs 2.5 lakh housing subsidy approved. UPI PIN கொடுங்கள் funds release பண்ண,1,Mixed
Rs 5000.00 credited to your account XXXXXXXX1234 via UPI on 03-Apr-2026. Ref: UPI123456789,0,English
Your UPI payment of Rs 200 to merchant BigBazaar was successful. Transaction ID: TXN789012345,0,English
HDFC Bank: UPI payment of Rs 10000 to XYZ Trading Co. successful. Avail. bal: Rs 25432.50,0,English
ICICI Bank: ECS debit of Rs 1500 for loan EMI processed. Outstanding balance: Rs 45000.,0,English
Canara Bank: Salary credit of Rs 45000 to your account on 01-Apr-2026. A/c: XXXXXXXX.,0,English
NEFT transfer of Rs 25000 to HDFC account successful. UTR: NEFT20260403XXXXXX.,0,English
ATM cash withdrawal of Rs 3000 from your account on 03-Apr at SBI ATM Chennai T. Nagar.,0,English
Your SIP of Rs 2000 has been processed successfully. Units credited to your mutual fund.,0,English
LIC premium of Rs 5000 for policy XXXXXXX received. Next due date: 01-Jul-2026.,0,English
Your UPI transaction of Rs 100 to PM-CARES Fund was successful. Thank you for contributing.,0,English
